RELEASE ; FILENAME ; NR ; NAUTH ; ChgSize ; LOCAdded ; Churn ; BUGGYNESS 
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java;19;3;1282;284;250;NO
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java;14;1;1848;77;7;null
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java;24;3;1593;348;125;YES
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java;22;2;290;1016;773;NO
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieLayoutVersionTest.java;26;2;475;351;-1461;YES
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/EntryLogTest.java;61;3;820;978;773;NO
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperTestClient.java;21;2;1043;91;70;null
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookieRecoveryTest.java;112;3;2845;2822;1940;NO
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerCacheTest.java;39;2;1281;108;-785;YES
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestFencing.java;58;3;1321;509;342;NO
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalAsyncLedgerOpsTest.java;5;1;230;0;-235;null
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieFailureTest.java;5;1;230;0;-235;null
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieReadWriteTest.java;5;1;230;0;-235;null
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieRecoveryTest.java;5;1;230;0;-230;null
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalLedgerDeleteTest.java;11;1;296;0;-239;null
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/LedgerLayoutTest.java;24;3;903;184;58;YES
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/TestLedgerManager.java;30;3;1025;508;323;YES
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/proto/TestProtoVersions.java;21;3;624;36;-33;YES
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/AsyncLedgerOpsTest.java;32;2;2596;220;14;YES
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BaseTestCase.java;119;4;3227;1736;-681;YES
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieClientTest.java;56;3;2965;415;77;NO
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieFailureTest.java;70;3;3182;1094;536;NO
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieJournalRollingTest.java;41;3;915;577;250;YES
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieReadWriteTest.java;104;3;3319;4875;2425;NO
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieZKExpireTest.java;47;3;2334;206;96;NO
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/CloseTest.java;26;3;2364;224;157;YES
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConcurrentLedgerTest.java;54;3;2979;209;53;NO
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConditionalSetTest.java;20;2;1386;48;14;YES
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConfigurationTest.java;11;2;408;82;72;YES
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerDeleteTest.java;48;2;2937;225;-35;YES
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerRecoveryTest.java;33;2;1958;555;410;YES
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LoopbackClient.java;31;3;2412;101;21;null
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/NIOServerFactoryTest.java;33;2;2188;82;-163;YES
1;hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java;0;0;0;0;0;null
1;hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java;0;0;0;0;0;null
1;hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java;14;1;1393;56;0;null
1;hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java;17;2;1362;168;130;null
1;hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java;40;3;1515;971;796;YES
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java;28;3;1799;92;37;NO
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java;40;3;2645;171;54;NO
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java;25;3;2137;150;90;NO
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java;7;1;1197;7;0;null
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java;34;2;2087;424;229;null
1;hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java;30;2;2086;166;130;null
1;hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java;12;2;1357;57;-10;null
1;hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java;28;3;1515;250;149;YES
1;hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java;7;1;1197;28;0;null
1;hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java;0;0;0;0;0;null
1;hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java;7;1;1197;14;0;null
1;hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java;7;1;1197;7;0;null
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java;36;3;2434;459;112;null
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java;24;2;2183;93;37;null
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java;31;3;2344;146;7;null
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java;42;3;2593;179;-563;YES
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java;76;4;3032;1662;-710;YES
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java;31;3;2344;200;12;null
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java;14;1;1393;35;0;null
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java;42;3;2569;113;-602;null
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java;53;2;955;565;-1220;NO
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java;64;4;2726;800;-340;NO
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java;93;3;3139;2508;-719;NO
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java;59;3;2776;436;-1823;YES
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java;42;3;2444;155;51;null
1;hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java;0;0;0;0;0;null
1;hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java;7;1;1197;98;7;null
1;hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java;20;2;1512;124;117;NO
